"","datetime","humidity"
"1",2022-03-29 15:30:00,"53.8687"
"2",2022-03-29 16:00:00,"62.9371"
"3",2022-03-29 16:30:00,"66.2353"
"4",2022-03-29 17:00:00,"71.0024"
"5",2022-03-29 17:30:00,"70.9181"
"6",2022-03-29 18:00:00,"76.0358"
"7",2022-03-29 18:30:00,"79.8232"
"8",2022-03-29 19:00:00,"85.8767"
"9",2022-03-29 19:30:00,"89.7411"
"10",2022-03-29 20:00:00,"91.133"
"11",2022-03-29 20:30:00,"92.8024"
"12",2022-03-29 21:00:00,"94.1849"
"13",2022-03-29 21:30:00,"96.1983"
"14",2022-03-29 22:00:00,"94.6766"
"15",2022-03-29 22:30:00,"95.9431"
"16",2022-03-29 23:00:00,"96.9036"
"17",2022-03-29 23:30:00,"98.8234"
"18",2022-03-30 00:00:00,"98.8772"
"19",2022-03-30 00:30:00,"99.1085"
"20",2022-03-30 01:00:00,"99.894"
"21",2022-03-30 01:30:00,"100"
"22",2022-03-30 02:00:00,"100"
"23",2022-03-30 02:30:00,"99.942"
"24",2022-03-30 03:00:00,"98.1982"
"25",2022-03-30 03:30:00,"98.0528"
"26",2022-03-30 04:00:00,"96.1601"
"27",2022-03-30 04:30:00,"95.5875"
"28",2022-03-30 05:00:00,"97.0122"
"29",2022-03-30 05:30:00,"97.2179"
"30",2022-03-30 06:00:00,"98.5377"
"31",2022-03-30 06:30:00,"99.0119"
"32",2022-03-30 07:00:00,"98.8772"
"33",2022-03-30 07:30:00,"98.6835"
"34",2022-03-30 08:00:00,"89.3777"
"35",2022-03-30 08:30:00,"85.8175"
"36",2022-03-30 09:00:00,"82.8274"
"37",2022-03-30 09:30:00,"75.5915"
"38",2022-03-30 10:00:00,"72.747"
"39",2022-03-30 10:30:00,"60.3472"
"40",2022-03-30 11:00:00,"58.1104"
"41",2022-03-30 11:30:00,"58.3363"
"42",2022-03-30 12:00:00,"56.5903"
"43",2022-03-30 12:30:00,"58.3888"
"44",2022-03-30 13:00:00,"60.9746"
"45",2022-03-30 13:30:00,"61.1841"
"46",2022-03-30 14:00:00,"59.2934"
"47",2022-03-30 14:30:00,"57.8664"
"48",2022-03-30 15:00:00,"60.5985"
"49",2022-03-30 15:30:00,"61.7699"
"50",2022-03-30 16:00:00,"60.9972"
"51",2022-03-30 16:30:00,"64.4076"
"52",2022-03-30 17:00:00,"65.3213"
